group,names,scores,logfoldchanges,pvals,pvals_adj
0,CYBB,101.34637,4.747366,0.0,0.0
0,KLF4,101.184685,5.2772055,0.0,0.0
0,MNDA,100.5705,5.712931,0.0,0.0
0,OAZ1,100.50593,2.014927,0.0,0.0
0,MS4A6A,99.46747,6.214536,0.0,0.0
0,GSTP1,99.121544,2.693359,0.0,0.0
0,VIM,98.80196,2.212125,0.0,0.0
0,RGS2,97.94869,3.7904909,0.0,0.0
0,HLA-DRA,97.68309,3.3568928,0.0,0.0
0,CFP,97.59206,4.5728884,0.0,0.0
0,RNF130,97.55323,4.13345,0.0,0.0
0,CFD,97.26828,5.045106,0.0,0.0
0,CEBPD,97.196,5.078794,0.0,0.0
0,ATP2B1-AS1,97.03907,3.680825,0.0,0.0
0,SLC11A1,97.02176,5.390144,0.0,0.0
0,FGR,96.76449,3.4529045,0.0,0.0
0,AC020916.1,96.737854,4.944468,0.0,0.0
0,PLAUR,96.60466,5.579936,0.0,0.0
0,LGALS3,96.55949,4.0744963,0.0,0.0
0,CLEC7A,96.485245,5.606424,0.0,0.0
0,RNASEK,96.279076,2.0904987,0.0,0.0
0,AP1S2,96.2007,3.7019165,0.0,0.0
0,TNFAIP2,96.10687,6.070475,0.0,0.0
0,ASAH1,96.06709,3.3419504,0.0,0.0
0,GNAI2,95.62188,2.9163275,0.0,0.0
0,NCF2,94.60803,5.198696,0.0,0.0
0,S100A10,94.02686,2.215677,0.0,0.0
